"Title","Sex","Age_Class","Year"
"635","FemaleJ","Adult",1997
"649","FemaleJ","Adult",1997
"653","FemaleJ","Adult",1997
"677","FemaleJ","Adult",1997
"707","FemaleJ","Adult",1997
"76","Male","Adult",1997
"804","Male","Adult",1997
"824","Male","Adult",1997
"832","FemaleJ","Adult",1997
"89","FemaleJ","Adult",1997
"9","FemaleJ","Adult",1997
"92","Male","Adult",1997
"94","FemaleJ","Adult",1997
"950","FemaleJ","Adult",1997
"952","FemaleJ","Adult",1997
"959","FemaleJ","Adult",1997
"961","FemaleJ","Adult",1997
"9901","FemaleJ","Adult",1997
"9911","Male","Adult",1997
"9914","FemaleJ","Adult",1997
"1","Male","Adult",1998
"10","Male","Adult",1998
"1019","FemaleJ","Adult",1998
"102","Male","Adult",1998
"1146",NA,"Adult",1998
"1147","FemaleJ","Adult",1998
"1155","FemaleJ","Adult",1998
"118","Male","Adult",1998
"1239","FemaleJ","Juvenile",1998
"1253","FemaleJ","Adult",1998
"1272",NA,"Juvenile",1998
"1284","FemaleJ","Juvenile",1998
"131","FemaleJ","Adult",1998
"1313","FemaleJ","Adult",1998
"1329","FemaleJ","Adult",1998
"1332","FemaleJ","Adult",1998
"1334","FemaleJ","Juvenile",1998
"1336","FemaleJ","Adult",1998
"1337","FemaleJ","Adult",1998
"1358","FemaleJ","Adult",1998
"1404","FemaleJ","Adult",1998
"1410",NA,"Juvenile",1998
"1414","FemaleJ","Adult",1998
"1417","FemaleJ","Adult",1998
"1418","FemaleJ","Adult",1998
"1420",NA,"Adult",1998
"1422","FemaleJ","Adult",1998
"1424","Male","Adult",1998
"1426",NA,"Adult",1998
"1429",NA,"Juvenile",1998
"1435",NA,"Adult",1998
"1436",NA,"Juvenile",1998
"1438",NA,"Adult",1998
"1442",NA,"Adult",1998
"1445",NA,"Adult",1998
"1450","FemaleJ","Adult",1998
"1451","FemaleJ","Adult",1998
"1452","FemaleJ","Adult",1998
"1458","Male","Adult",1998
"1461","Male","Adult",1998
"1466","FemaleJ","Juvenile",1998
"1469","FemaleJ","Adult",1998
"1470","FemaleJ","Adult",1998
"1472",NA,"Adult",1998
"1473",NA,"Adult",1998
"1479",NA,"Adult",1998
"1488",NA,"Adult",1998
"1493",NA,"Adult",1998
"1496",NA,"Adult",1998
"1497",NA,"Adult",1998
"1500",NA,"Adult",1998
"1501",NA,"Adult",1998
"1503",NA,"Adult",1998
"1504",NA,"Adult",1998
"1505",NA,"Adult",1998
"1507","FemaleJ","Adult",1998
"1510","FemaleJ","Adult",1998
"1512","FemaleJ","Adult",1998
"1513",NA,"Adult",1998
"1515",NA,"Adult",1998
"159","FemaleJ","Adult",1998
"170","FemaleJ","Adult",1998
"222","FemaleJ","Adult",1998
"251","FemaleJ","Adult",1998
"3","Male","Adult",1998
"303","FemaleJ","Adult",1998
"33","Male","Adult",1998
"37","Male","Adult",1998
"409","FemaleJ","Adult",1998
"413","Male","Adult",1998
"45","Male","Adult",1998
"480","Male","Adult",1998
"518",NA,"Adult",1998
"54","FemaleJ","Adult",1998
"549","Male","Adult",1998
"56R",NA,"Adult",1998
"653","FemaleJ","Adult",1998
"677","FemaleJ","Adult",1998
"804","Male","Adult",1998
"824","Male","Adult",1998
"89","FemaleJ","Adult",1998
"94","FemaleJ","Adult",1998
